Params	Time Savings	BD-BR Inc	RDCCOst
QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2_refs=3	0.4307	0.0287	0.0667
AMP=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.4324	0.0306	0.0708
QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2_refs=2	0.5263	0.0420	0.0799
AMP=0_BipredSearchRange=2_SearchRange=8_TestRect=2	0.3976	0.0307	0.0773
SearchRange=8_TestRect=2_refs=3	0.3456	0.0265	0.0768
BipredSearchRange=2_SearchRange=8_TestRect=2_refs=3	0.3700	0.0285	0.0770
AMP=0_SearchRange=8_TestRect=2	0.3702	0.0298	0.0804
BipredSearchRange=2_SearchRange=8_TestRect=2_refs=2	0.4578	0.0415	0.0907
QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2_refs=1	0.6236	0.0577	0.0925
HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.4066	0.0308	0.0757
SearchRange=8_TestRect=2_refs=2	0.4414	0.0384	0.0871
BipredSearchRange=2_SearchRange=8_TestRect=2_refs=1	0.5468	0.0575	0.1051
BipredSearchRange=2_SearchRange=4_TestRect=2	0.2910	0.0201	0.0692
SearchRange=8_TestRect=2_refs=1	0.5382	0.0538	0.1000
BipredSearchRange=2_HadamardME=0_SearchRange=8_TestRect=2	0.3533	0.0295	0.0836
HadamardME=0_SearchRange=8_TestRect=2	0.3200	0.0275	0.0860
SearchRange=4_TestRect=2	0.2567	0.0176	0.0685
FME=1_SearchRange=8_TestRect=2	0.4251	0.0695	0.1634
FME=1_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.5126	0.0678	0.1322
BipredSearchRange=2_FME=1_SearchRange=8_TestRect=2	0.4567	0.0696	0.1524
QuadtreeTUMaxDepthInter=2_SearchRange=0_TestRect=2	0.3604	0.0380	0.1054
MaxPartitionDepth=3_SearchRange=8_TestRect=2	0.4451	0.1431	0.3215
MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.5246	0.1713	0.3266
BipredSearchRange=2_MaxPartitionDepth=3_SearchRange=8_TestRect=2	0.4712	0.1461	0.3101
SearchRange=0_TestRect=2	0.2745	0.0347	0.1264
BipredSearchRange=2_SearchRange=0_TestRect=2	0.3069	0.0596	0.1942
FME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.6288	0.1929	0.3068
FME=0_SearchRange=8_TestRect=2	0.5406	0.1919	0.3549
BipredSearchRange=2_FME=0_SearchRange=8_TestRect=2	0.5700	0.1804	0.3165
MaxPartitionDepth=2_SearchRange=8_TestRect=2	0.6822	0.4527	0.6637
MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.7230	0.5535	0.7656
BipredSearchRange=2_MaxPartitionDepth=2_SearchRange=8_TestRect=2	0.6942	0.4539	0.6539
FME=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.4701	0.1945	0.4137
BipredSearchRange=2_FME=2_SearchRange=8_TestRect=2	0.4122	0.1969	0.4776
FME=2_SearchRange=8_TestRect=2	0.3794	0.1926	0.5076
MaxPartitionDepth=1_SearchRange=8_TestRect=2	0.8376	1.0269	1.2260
MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.8540	1.2932	1.5143
BipredSearchRange=2_MaxPartitionDepth=1_SearchRange=8_TestRect=2	0.8450	1.0250	1.2130
BipredSearchRange=0_SearchRange=8_TestRect=1	0.3957	0.0231	0.0583
BipredSearchRange=0_SearchRange=4_TestRect=2	0.3050	0.0213	0.0699
BipredSearchRange=0_SearchRange=8_refs=3	0.2245	0.0166	0.0740
BipredSearchRange=0_SearchRange=8_TestRect=3_refs=3	0.3010	0.0253	0.0842
BipredSearchRange=0_SearchRange=8_TestRect=2_refs=3	0.3814	0.0317	0.0832
AMP=0_BipredSearchRange=0_SearchRange=8	0.2140	0.0155	0.0724
AMP=0_BipredSearchRange=0_SearchRange=8_TestRect=3	0.3147	0.0254	0.0807
AMP=0_BipredSearchRange=0_SearchRange=8_TestRect=2	0.4113	0.0332	0.0807
BipredSearchRange=0_SearchRange=8_refs=2	0.3447	0.0304	0.0881
BipredSearchRange=0_SearchRange=8_TestRect=3_refs=2	0.4067	0.0367	0.0903
BipredSearchRange=0_SearchRange=8_TestRect=2_refs=2	0.4643	0.0430	0.0926
BipredSearchRange=0_HadamardME=0_SearchRange=8_TestRect=2	0.3679	0.0296	0.0804
BipredSearchRange=0_SearchRange=8_refs=1	0.4671	0.0479	0.1026
BipredSearchRange=0_SearchRange=8_TestRect=3_refs=1	0.5096	0.0520	0.1020
BipredSearchRange=0_SearchRange=8_TestRect=2_refs=1	0.5502	0.0584	0.1061
BipredSearchRange=0_HadamardME=0_SearchRange=8	0.2026	0.0199	0.0982
BipredSearchRange=0_HadamardME=0_SearchRange=8_TestRect=3	0.2848	0.0257	0.0902
BipredSearchRange=0_SearchRange=4	0.1147	0.0087	0.0756
BipredSearchRange=0_SearchRange=4_TestRect=3	0.2123	0.0153	0.0720
BipredSearchRange=0_SearchRange=0_TestRect=2	0.3208	0.1130	0.3521
BipredSearchRange=0_FME=1_SearchRange=8	0.3520	0.0547	0.1553
BipredSearchRange=0_FME=1_SearchRange=8_TestRect=3	0.4112	0.0631	0.1534
BipredSearchRange=0_FME=1_SearchRange=8_TestRect=2	0.4717	0.0742	0.1573
BipredSearchRange=0_MaxPartitionDepth=3_SearchRange=8	0.3186	0.0986	0.3094
BipredSearchRange=0_MaxPartitionDepth=3_SearchRange=8_TestRect=3	0.4033	0.1216	0.3016
BipredSearchRange=0_MaxPartitionDepth=3_SearchRange=8_TestRect=2	0.4829	0.1490	0.3086
BipredSearchRange=0_SearchRange=0	0.1384	0.0956	0.6908
BipredSearchRange=0_SearchRange=0_TestRect=3	0.2337	0.1110	0.4752
BipredSearchRange=0_FME=0_SearchRange=8	0.5125	0.1800	0.3512
BipredSearchRange=0_FME=0_SearchRange=8_TestRect=3	0.5475	0.1912	0.3492
BipredSearchRange=0_FME=0_SearchRange=8_TestRect=2	0.5834	0.1971	0.3378
BipredSearchRange=0_MaxPartitionDepth=2_SearchRange=8	0.6033	0.3450	0.5719
BipredSearchRange=0_MaxPartitionDepth=2_SearchRange=8_TestRect=3	0.6525	0.3998	0.6127
BipredSearchRange=0_MaxPartitionDepth=2_SearchRange=8_TestRect=2	0.7006	0.4595	0.6558
BipredSearchRange=0_FME=2_SearchRange=8_TestRect=2	0.4265	0.2173	0.5094
BipredSearchRange=0_FME=2_SearchRange=8	0.2831	0.1891	0.6678
BipredSearchRange=0_FME=2_SearchRange=8_TestRect=3	0.3557	0.1966	0.5529
BipredSearchRange=0_MaxPartitionDepth=1_SearchRange=8	0.7946	0.8585	1.0804
BipredSearchRange=0_MaxPartitionDepth=1_SearchRange=8_TestRect=3	0.8215	0.9472	1.1530
BipredSearchRange=0_MaxPartitionDepth=1_SearchRange=8_TestRect=2	0.8476	1.0302	1.2154
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_TestRect=1	0.5355	0.0426	0.0795
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1	0.5546	0.0430	0.0775
QuadtreeTUMaxDepthInter=2_SearchRange=4_TestRect=1	0.4378	0.0263	0.0600
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=4_TestRect=1	0.4644	0.0294	0.0633
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=4_TestRect=1	0.4776	0.0311	0.0650
QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=1	0.4914	0.0384	0.0782
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_TestRect=1	0.4950	0.0389	0.0785
QuadtreeTUMaxDepthInter=2_TestRect=1_refs=3	0.4950	0.0351	0.0710
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_TestRect=1_refs=3	0.5156	0.0365	0.0708
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=3	0.5286	0.0384	0.0727
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_TestRect=1_refs=3	0.5251	0.0388	0.0739
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=3	0.5368	0.0407	0.0759
QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=3	0.5079	0.0364	0.0716
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=1	0.5073	0.0392	0.0774
AMP=0_QuadtreeTUMaxDepthInter=2_TestRect=1	0.5135	0.0394	0.0767
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_TestRect=1	0.5458	0.0410	0.0751
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1	0.5646	0.0459	0.0813
AMP=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1	0.5326	0.0407	0.0764
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=1	0.6046	0.0573	0.0948
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=1	0.6143	0.0601	0.0978
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=1	0.5340	0.0472	0.0883
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_TestRect=1_refs=2	0.5816	0.0502	0.0863
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=2	0.5968	0.0498	0.0834
QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=2	0.5824	0.0489	0.0839
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1_refs=2	0.6035	0.0520	0.0862
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_TestRect=1_refs=2	0.5996	0.0505	0.0842
QuadtreeTUMaxDepthInter=2_TestRect=1_refs=2	0.5792	0.0474	0.0818
BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_TestRect=1	0.4946	0.0365	0.0738
BipredSearchRange=2_HadamardME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=1	0.5174	0.0390	0.0754
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=1_refs=3	0.5848	0.0550	0.0940
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=1_refs=3	0.5945	0.0566	0.0953
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=1	0.5206	0.0452	0.0867
